	categories_list
Metal Fight Beyblade Zero G Specials	[]
Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze	[]
Metal Fighter Miku	[Sports]
Metal Skin Panic MADOX-01	[SciFi]
Metropolis	[SciFi, Androids, Robots]
Mezamero	[Shorts]
Mezzo	[Action, BountyHunters]
Mezzo Forte	[Action, BountyHunters, ExplicitViolence]
Miami Guns	[Action, Comedy, America, Police]
Michel	[]
Michiko to Hatchin	[Action, Adventure, OriginalWork, Police, Violence]
Microid S	[]
Midori	[Romance, Abstract, BasedonaManga, EmotionalAbuse, MatureThemes, PhysicalAbuse, SexualAbuse, Violence]
Midori Days	[Comedy, Drama, Ecchi, Romance, BasedonaManga, SchoolLife]
Midori no Neko	[Mystery, SciFi, Aliens, BasedonaManga, Detectives, Violence]
Mighty Orbots	[Adventure, Mecha, SciFi, Episodic, Robots]
Mighty Space Miners	[Action, SciFi, OriginalWork, OuterSpace]
Mikagura School Suite	[Action, Comedy, Fantasy, BasedonaLightNovel, SchoolClub, SchoolLife, Superpowers]
Mikan Enikki	[Comedy, SliceofLife, AnimalProtagonists, FamilyFriendly]
Mikansen	[BlackandWhite, Shorts]
Military!	[Comedy, Ecchi, BasedonaManga, Chibi, Crude, Military]
Military! Special	[Comedy, Ecchi, BasedonaManga, Chibi, Military]
Millennium Actress	[Drama, OriginalWork]
Million Doll	[BasedonaManga, Idols]
Milpom	[Comedy, OriginalWork, StopMotionAnimation]
Milpom Pilot	[Comedy, OriginalWork, StopMotionAnimation]
Minami Kamakura Koukou Joshi Jitenshabu	[BasedonaManga, Cycling]
Minami no Niji no Lucy	[WorldMasterpieceTheater]
Minami no Shima no Dela-chan	[Comedy, SliceofLife]
Minami-ke	[Comedy, SliceofLife, BasedonaManga]
Minami-ke Betsubara	[Comedy, SliceofLife]
Minami-ke Natsuyasumi	[Comedy, SliceofLife]
Minami-ke Okaeri	[Comedy, SliceofLife, BasedonaManga]
Minami-ke Okawari	[Comedy, SliceofLife, BasedonaManga]
Minami-ke Omatase	[Comedy, SliceofLife]
Minami-ke Tadaima	[Comedy, SliceofLife, BasedonaManga]
Minarai Diva	[]
Mind Game	[Fantasy, Abstract, BasedonaManga]
Mini Hama	[Comedy, BasedonaManga, Chibi]
Mini Hama Movie	[Comedy, BasedonaManga, Chibi]
Mini Moni the TV	[Comedy, FamilyFriendly]
Mini Sengoku Basara Two: Tsukiyo no Katakura-kun	[]
Mini Sengoku Basara: Chousokabe-kun to Mouri-kun	[]
Mini Vanguard	[Comedy, BasedonaCardGame, Chibi, FlashAnimation, Parody]
Mini Vanguard 2	[Comedy, BasedonaCardGame, Chibi, FlashAnimation, Parody]
Minion[Apocalypsis]	[Fantasy, Shorts]
Minky Momo	[Shoujo, Magic]
Minky Momo in Tabidachi no Eki	[Shoujo, FamilyFriendly]
Minky Momo: The Bridge Over Dreams	[Shoujo]
Minna Atsumare! Falcom Gakuen	[Comedy, Fantasy, Parody, SchoolLife]
Minna Atsumare! Falcom Gakuen 3	[Comedy, Fantasy, Parody, SchoolLife]
Minna Atsumare! Falcom Gakuen SC	[Comedy, Fantasy, Parody, SchoolLife]
Minori Scramble!	[Comedy, Androids, BasedonaManga, Robots]
Mint	[]
Miracle Giants Domu-kun	[Sports, Baseball]
Miracle Girls	[Shoujo, Magic]
Miracle Shoujo Limit-chan	[]
Miracle Train ~Ooedo-sen e Youkoso~	[Drama, SliceofLife, Episodic, Supernatural, Trains]
Mirage of Blaze	[Shounen-ai, BasedonaLightNovel, Reincarnation, Samurai, Supernatural]
Mirage of Blaze: Rebels of the River Edge	[Shounen-ai, BasedonaLightNovel, Samurai, Supernatural]
Mirai Arise	[SciFi]
Mirai Nikki	[Shounen, BasedonaManga, HighStakesGames, PlayorDie, Psychological, Shorts, Supernatural]
Mirai Nikki Redial	[Drama, Romance, Psychological]
Mirai Nikki TV	[Action, Shounen, BasedonaManga, HighStakesGames, Nudity, PlayorDie, Psychological, Supernatural, Violence]
Mirai Robo Daltanias	[Action, Mecha, SciFi, CombiningMecha]
Mirakururun Grand Purin!	[]
Miss Monochrome	[Comedy, Idols, Vocaloid]
Miss Monochrome 2	[Comedy, Idols, Vocaloid]
Miss Monochrome 3	[Comedy, Idols, Vocaloid]
Miss Monochrome: Manager	[Comedy, Idols, Vocaloid]
Miss Monochrome: Supporter	[Comedy, Idols, Vocaloid]
Miss Monochrome: Watashi dake no Monogatari	[CGAnimation, Vocaloid]
Mission-E	[Action, SciFi, OriginalWork, Superpowers]
Mister Ajikko	[Comedy, Shounen, BasedonaManga, FamilyFriendly, FoodandBeverage]
Mister Ajikko Special	[]
Mitchie M: Freely Tomorrow	[Vocaloid]
Mitsudomoe	[Comedy, Ecchi, BasedonaManga, SchoolLife]
Mitsudomoe Special	[Comedy, Ecchi, SliceofLife]
Mitsudomoe Zouryouchuu!	[Comedy, Ecchi, SliceofLife, BasedonaManga, SchoolLife]
Mitsume ga Tooru	[]
Mitsuwano	[]
Miyakawa-ke no Kuufuku	[Comedy, SliceofLife, SchoolLife]
Miyako	[]
Miyamoto Musashi: Souken ni Haseru Yume	[Samurai]
Miyori no Mori	[Drama, Fantasy, Environmental]
Miyuki	[Romance]
Miyuki-chan in Wonderland	[Fantasy, AliceinWonderland, PersoninaStrangeWorld]
Mizu no Kotoba	[Drama, OriginalWork, Shorts]
Mizugumo Monmon	[Fantasy, Romance, AnimalProtagonists, FamilyFriendly, GhibliMuseumShorts, Shorts]
Mizuiro	[Drama, Romance, Supernatural]
Mizuiro Jidai	[Romance, SchoolLife]
Mizutori	[AnimalProtagonists, FamilyFriendly, MinnanoUta]
Mnemosyne	[Action, Horror, Mystery, ExplicitSex, ExplicitViolence, OriginalWork, PhysicalAbuse, SexualAbuse, Yuri]
Mobile Fighter G Gundam	[Action, Mecha, SciFi, HandtoHandCombat, MartialArts, Tournaments]
Mobile New Century Gundam X	[Action, Mecha, SciFi, Military, Post-apocalyptic]
Mobile Police Patlabor Minimum: Minipato	[Parody]
Mobile Suit Gundam	[Mecha, SciFi, Military, OuterSpace, Political, War]
Mobile Suit Gundam 00	[Action, Mecha, SciFi, Political, Terrorism]
Mobile Suit Gundam 00 Second Season	[Action, Mecha, SciFi, Political]
Mobile Suit Gundam 00 Special Edition I: Celestial Being	[]
Mobile Suit Gundam 00 Special Edition II: End of World	[]
Mobile Suit Gundam 00 Special Edition III: Return the World	[]
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer	[]
Mobile Suit Gundam 0080: War in the Pocket	[Mecha, SciFi]
Mobile Suit Gundam 0083: Stardust Memory	[Mecha, SciFi, Military, OuterSpace]
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space	[Mecha, SciFi]
Mobile Suit Gundam 0083: The Afterglow of Zeon	[Mecha, SciFi, Military, OuterSpace]
Mobile Suit Gundam 08th MS Team	[Mecha, SciFi, Military, War]
Mobile Suit Gundam AGE	[Mecha, SciFi]
Mobile Suit Gundam AGE: Memory of Eden	[]
Mobile Suit Gundam F91	[Mecha, SciFi, OuterSpace]
Mobile Suit Gundam I	[Mecha, SciFi, Military, OuterSpace, Political, War]
Mobile Suit Gundam II: Soldiers of Sorrow	[Mecha, SciFi, Military, OuterSpace, Political, War]
Mobile Suit Gundam III: Encounters in Space	[Mecha, SciFi, Military, OuterSpace, Political, War]
Mobile Suit Gundam MS IGLOO 2: Juuryoku Sensen	[Action, Mecha, SciFi, Supernatural, War]
Mobile Suit Gundam MS IGLOO: Apocalypse 0079	[Action, Mecha, SciFi, Political, War]
Mobile Suit Gundam MS IGLOO: The Hidden One Year War	[Action, Mecha, SciFi, OuterSpace, Political, War]
Mobile Suit Gundam SEED	[Action, Mecha, SciFi, OuterSpace, War]
Mobile Suit Gundam SEED Destiny	[Mecha, SciFi]
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future	[Mecha, SciFi]
Mobile Suit Gundam SEED Destiny Special Edition I: The Broken World	[SciFi]
Mobile Suit Gundam SEED Destiny Special Edition II: Respective Swords	[SciFi]
Mobile Suit Gundam SEED Destiny Special Edition III: The Hell Fire of Destiny	[SciFi]
Mobile Suit Gundam SEED Destiny Special Edition IV: The Cost of Freedom	[SciFi]
Mobile Suit Gundam SEED MSV Astray	[Mecha, SciFi]
Mobile Suit Gundam SEED Movie I: The Empty Battlefield	[SciFi]
Mobile Suit Gundam SEED Movie II: The Far-Away Dawn	[SciFi]
Mobile Suit Gundam SEED Movie III: The Rumbling Sky	[SciFi]
Mobile Suit Gundam SEED: After Phase: In the Valley of Stars	[]
Mobile Suit Gundam Unicorn	[Mecha, SciFi]
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude	[]
Mobile Suit Gundam Wing: Operation Meteor	[Action, Mecha, SciFi, Recap]
Mobile Suit Gundam ZZ	[Mecha, SciFi, OuterSpace]
Mobile Suit Gundam ZZ: Gundam Frag.	[Mecha, SciFi]
Mobile Suit Gundam-san	[Comedy, Mecha, Parody]
Mobile Suit Gundam: Char's Counterattack	[Mecha, SciFi]
Mobile Suit Gundam: Iron-Blooded Orphans	[Mecha, SciFi]
Mobile Suit Gundam: The 08th MS Team - A Battle With The Third Dimension	[]
Mobile Suit Gundam: The 08th MS Team - Miller's Report	[Mecha, SciFi, Military]
Mobile Suit Gundam: The Origin	[Mecha, SciFi, OuterSpace]
Mobile Suit Gundam: Thunderbolt	[Mecha, SciFi, BasedonaManga]
Mobile Suit SD Gundam Mk I	[Comedy, Mecha, Chibi, Parody]
Mobile Suit SD Gundam Mk II	[Comedy, Mecha, Chibi, Parody]
Mobile Suit SD Gundam Mk III	[Comedy, Mecha, Chibi, Ninja, Parody]
Mobile Suit SD Gundam Mk IV	[Comedy, Mecha, Chibi, Parody, Racing]
Mobile Suit SD Gundam Mk V	[Comedy, Mecha, Chibi, Parody]
Mobile Suit SD Gundam's Counterattack	[Comedy, Mecha, Romance, Chibi, Music, Parody, SchoolLife]
Mobile Suit Victory Gundam	[Mecha, SciFi]
Mobile Suit Zeta Gundam	[Action, Drama, Mecha, OuterSpace, Political]
Mobile Suit Zeta Gundam: A New Translation -Heirs to the Stars-	[Mecha, SciFi]
Mobile Suit Zeta Gundam: A New Translation II -Lovers-	[Mecha, SciFi]
Mobile Suit Zeta Gundam: A New Translation III -Love is the Pulse of the Stars-	[Mecha, SciFi]
Mochibei	[Shorts]
Modern	[Shorts]
Modern No.2	[Shorts]
Moegaku 5	[Comedy, MagicalGirl, BasedonaVideoGame, Magic]
Moekan	[Maids]
Moero! Top Striker	[Sports, Soccer]
Moeru! Onii-san OVA	[]
Moetan	[Ecchi, PantyShots]
Moetan Specials	[]
Mogu Mogu	[]
Moka: Lost Forest	[]
Moka: Mission School	[]
Mokei Senshi Gunpla Builders Beginning G	[Action, Mecha, SciFi, OtakuCulture]
Mokke	[SliceofLife, BasedonaManga, FamilyFriendly, Supernatural]
Mokke Specials	[SliceofLife, FamilyFriendly, Supernatural]
Moldiver	[Action, Comedy, Superpowers]
Momo Kyun Sword	[Action, Ecchi, Fantasy, BasedonaLightNovel, Demons, JapaneseMythology, Magic]
Momoiro Clover Z: MOON PRIDE	[]
Momoiro Sisters	[Comedy, SliceofLife, MatureThemes]
Momoko, Kaeru no Uta ga Kikoeru yo.	[Drama, SliceofLife, SchoolLife]
Momokuri	[Comedy, Romance, BasedonaManga]
Momotaro's Sea Eagle	[BlackandWhite, Historical, War, WorldWar2]
Momotaro: Umi no Shinpei	[]
Momotarou Densetsu	[]
Mon Colle Knights	[Adventure, Fantasy, CardBattles, Monsters, PersoninaStrangeWorld, Superpowers]
MonHun Nikki Girigiri Airu Mura G	[Comedy, AnimalProtagonists, BasedonaVideoGame]
MonHun Nikki Girigiri Airu Mura: Airu Kiki Ippatsu	[Comedy, AnimalProtagonists, BasedonaVideoGame]
Monkey Magic	[Adventure, Fantasy, AnimalProtagonists, FamilyFriendly, JourneytotheWest]
Monkey Majik: Lupin the Third	[]
Monkey Punch no Sekai: Alice	[Action, Comedy, Ecchi, OriginalWork, SexualContent]
Monkey Turn	[Action, Sports, Racing]
Monkey Turn V	[Sports]
Monkichi the Monkey in The Gold Axe and the Silver Axe	[]
Monochrome Factor	[Action, Comedy, Shounen-ai, BasedonaManga, Supernatural]
Monogatari Series: Second Season	[BasedonaLightNovel]
Mononoke	[Horror, Abstract, Episodic, JapaneseMythology, noitaminA, Supernatural]
Monster	[Mystery, Seinen, BasedonaManga, Europe, Revenge, Thriller]
Monster Extra	[Recap, Shorts]
Monster Hunter Stories	[Fantasy, BasedonaVideoGame, Monsters, RPG]
Monster Musume	[Comedy, Ecchi, Harem, SliceofLife, BasedonaManga, Monsters, Supernatural]
Monster Musume: Hobo Mainichi OO! Namappoi Douga	[Comedy, Ecchi, SliceofLife, BasedonaManga, Monsters, Promotional]
Monster Rancher	[Action, Adventure, Fantasy, Shounen, Monster-of-the-week, PersoninaStrangeWorld]
Monster Rancher 2	[Action, Adventure, Fantasy, Shounen, Monster-of-the-week, PersoninaStrangeWorld]
Monster Strike	[Fantasy, BasedonaVideoGame, Monsters]
Monsuno	[Action, Adventure]
Monsuno: Combat Chaos	[Action, Adventure]
Moomin	[WorldMasterpieceTheater]
Moomin (1972)	[WorldMasterpieceTheater]
Moonlight Mile	[Drama, SciFi, Astronauts, BasedonaManga, OuterSpace]
Moonlight Mile 2nd Season - Touch Down	[Drama, SciFi, Astronauts, BasedonaManga, OuterSpace]
Moonrakers	[]
Mooretsu Atarou (1990)	[]
Morita-san wa Mukuchi	[Comedy, SliceofLife, BasedonaManga, SchoolLife]
Morita-san wa Mukuchi TV	[Comedy, SliceofLife, BasedonaManga, SchoolLife]
Morita-san wa Mukuchi TV Specials	[Comedy, SchoolLife]
Morita-san wa Mukuchi. 2	[Comedy, SliceofLife, BasedonaManga, SchoolLife]
Morizo to Kikkoro	[]
Moshidora	[Drama, Seinen, Sports, Baseball, BasedonaNovel, SchoolClub, SchoolLife]
Motohiro Shirai: The Ballad of Suicide	[Drama, Suicide, Supernatural]
Mottainai	[Promotional]
Motto To Love-Ru	[Comedy, Ecchi, Harem, Romance, SciFi, SliceofLife, Aliens, BasedonaManga, LoveTriangle, Nudity, PantyShots, SchoolLife]
Mou Hitotsu no Mirai o.	[SciFi, OriginalWork]
Mouretsu Pirates	[SciFi, BasedonaLightNovel, OuterSpace, SpacePirates]
Mouretsu Pirates: Abyss of Hyperspace	[SciFi, BasedonaLightNovel, OuterSpace, SpacePirates]
Mouryou no Hako	[Drama, Horror, Mystery, BasedonaNovel, Detectives, Supernatural]
Mouryou no Hako: Hako no Yuurei no Koto	[]
Mouse	[Ecchi, Maids, Thieves]
Mouse and His Child	[Adventure, AnimalProtagonists, FamilyFriendly]
Moyashimon	[Comedy, Agriculture, BasedonaManga, noitaminA, SchoolLife, Science]
Moyashimon Returns	[Comedy, Agriculture, BasedonaManga, noitaminA, SchoolLife, Science]
Moyashimon: Microbe Theatre Deluxe	[Omake, Science]
Mo~tto! Ojamajo Doremi	[Shoujo, FamilyFriendly, Magic, OriginalWork]
Mo~tto! Ojamajo Doremi Kaeru Seki no Himitsu	[MagicalGirl, Magic, OriginalWork]
Mr. Socket	[Shorts]
Mudazumo Naki Kaikaku	[Comedy, BasedonaManga, BoardGames, Historical, Mahjong, Parody, Political]
Mugen Shinshi: Bouken Katsugeki Hen	[]
Mujaki no Rakuen	[Comedy, Ecchi, BasedonaManga, ExplicitSex, PantyShots, TimeTravel]
Mukougaoka Chisato Was Only Gazing	[]
Munto	[Drama, Fantasy, Romance, Magic, OriginalWork]
Munto 2: Beyond the Walls of Time	[Fantasy]
Mura Matsuri	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Muramasa	[Samurai, Shorts]
Murder	[Detectives, Parody, Shorts]
Murder Princess	[Action, Fantasy, BodySwapping]
Musashi no Ken	[]
Muse: Follow Me	[]
Mushi-uta	[SciFi, BasedonaLightNovel, Insects, Superpowers]
Mushiba Tetsudou	[]
Mushibugyou	[Action, BasedonaManga, FeudalJapan, Insects, Monsters, Samurai, Swordplay]
Mushibugyou OVA	[Action, Fantasy, FeudalJapan, Monsters, Samurai, Swordplay]
Mushishi	[Fantasy, Seinen, BasedonaManga, Episodic, Supernatural]
Mushishi Tokubetsu-hen: Hihamukage	[Fantasy, Seinen, Supernatural]
Mushishi Zoku Shou	[Fantasy, Seinen, Episodic, Supernatural]
Mushishi Zoku Shou 2	[Fantasy, Seinen, BasedonaManga, Episodic, Supernatural]
Mushishi Zoku Shou Special	[Fantasy, Seinen, Supernatural]
Mushishi Zoku Shou: Suzu no Shizuku	[Fantasy, Seinen, Supernatural]
Muteki Kanban Musume	[Action, Comedy, SliceofLife, BasedonaManga, FoodandBeverage, Restaurants]
Muteki Kojin Daitarn 3	[Action, Mecha, SciFi]
Muteki Robo Trider G7	[Mecha, SciFi]
Muv-Luv Alternative: Total Eclipse	[Action, Mecha, SciFi, Aliens, America, Military, Violence]
Muv-Luv Alternative: Total Eclipse - Pre-Climax Special	[Action, Mecha, SciFi, Aliens, America, Military, Recap, Violence]
Muybridge's Strings	[Shorts]
My Beautiful Girl Mari	[Drama, Fantasy, SliceofLife, FamilyFriendly]
My Dear Marie	[Comedy, Ecchi, Romance, Robots]
My Last Day	[BasedonaNon-FictionWork, Religion, Shorts, Violence]
My Life	[Shorts]
My Love Story!!	[Comedy, Drama, Romance, Shoujo, BasedonaManga]
My Melody no Akazukin	[]
My Mental Choices are Completely Interfering with my School Romantic Comedy	[Comedy, Ecchi, Harem, Romance, BasedonaLightNovel, SchoolLife]
My Mental Choices are Completely Interfering with my School Romantic Comedy OVA	[Comedy, Ecchi, Harem, Romance, Crude, Nudity]
My My Mai	[Comedy, Ecchi, PantyShots]
My Neighbor Totoro	[Fantasy, SliceofLife, Countryside, FamilyFriendly, JapaneseMythology, OriginalWork]
My Neighbors The Yamadas	[Comedy, SliceofLife, FamilyFriendly]
My Son-Goku	[]
My-Hime	[Fantasy, Mystery, Romance, OriginalWork, Superpowers]
My-Hime Specials	[Ecchi, Romance, PantyShots]
My-Hime: Kuro no Mai, Saigo no Bansan	[Comedy]
Mylene Farmer: Peut-etre Toi	[]
Myriad Colors Phantom World	[Fantasy, BasedonaLightNovel]
Myself; Yourself	[Drama, Romance, BasedonaVisualNovel]
Mysterious Girlfriend X	[Comedy, Romance, Seinen, SliceofLife, BasedonaManga, Fetish, SchoolLife, Supernatural]
Mysterious Girlfriend X OVA	[Comedy, Romance, SchoolLife]
Mythical Detective Loki Ragnarok	[Comedy, Detectives, Magic, Supernatural]
NG Knight Lamune & 40	[]
NG Knight Lamune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen	[]
NG Knight Lamune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen	[]
NO LITTERING	[Comedy, Horror, ExplicitViolence, Shorts, StopMotionAnimation]
Nabari no Ou	[Shounen, BasedonaManga, Ninja, Supernatural, Superpowers]
Nadia: Secret Of Blue Water	[Adventure, FamilyFriendly]
Nadia: Secret of the Blue Water Specials	[]
Nadia: The Motion Picture	[Action, Adventure, SciFi, Robots]
Nagareboshi Lens	[Drama, Romance, BasedonaManga, SchoolLife, Shorts]
Nagasarete Airantou	[Comedy, Harem, Romance, SliceofLife, BasedonaManga]
Nagi no Asukara	[Drama, Fantasy, Romance, ComingofAge, LoveTriangle, OriginalWork]
Naisho no Tsubomi	[Drama, Romance, BasedonaManga, ComingofAge, SchoolLife]
Najica Blitz Tactics	[Action, Ecchi, SciFi, Gunfights, PantyShots]
Naked Wolves	[Adventure, Comedy, Sports, FamilyFriendly]
Nakedyouth	[Shounen-ai, CGAnimation, ComingofAge, OriginalWork, SchoolClub, SchoolLife]
Nakoruru	[Fantasy, Supernatural]
Nameko-ke no Ichizoku	[Comedy, SliceofLife, BasedonaVideoGame, FoodProtagonists]
Namida no Tsubomi	[MinnanoUta]
Namie Amuro: Defend Love	[Mecha]
Namie Amuro: Dr.	[]
Namiuchigiwa no Muromi-san	[Comedy, Fantasy, BasedonaManga, Mermaids]
Namiuchigiwa no Muromi-san OVA	[]
Nana	[Drama, Josei, Romance, BasedonaManga, ComingofAge, LoveTriangle, MatureThemes, Music, RockMusic]
Nana Recaps	[Recap]
Nana Seven of Seven	[Comedy, Superpowers]
Nana Seven of Seven: Shougatsu Da yo! 7 x 7 = 49-nin no Nana?	[]
Nana Toshi Monogatari: Hokkyokukai Sensen	[Drama, SciFi, Military, Political, Post-apocalyptic, War]
Nana to Kaoru	[Ecchi, BasedonaManga, Fetish, MatureThemes]
Nanairo Kakumei	[Shoujo, BasedonaManga, SchoolLife]
Nanaka 6/17	[Comedy, Romance, SchoolLife]
Nanaka 6/17 Special	[]
Nanako SOS	[]
Nanako no Orusuban	[SliceofLife, FamilyFriendly, Shorts]
Nanami-chan	[AnimalProtagonists, FamilyFriendly]
Nanami-chan 2nd Series	[AnimalProtagonists, FamilyFriendly]
Nanami-chan 3rd Series	[AnimalProtagonists, FamilyFriendly]
Nanatsu no Umi no Tico	[Adventure, Environmental, FamilyFriendly, WorldMasterpieceTheater]
Nanatsuiro Drops	[Fantasy, MagicalGirl, Romance, BasedonanEroge, BasedonaVisualNovel, Magic, SchoolLife]
Nanbaka	[Comedy, BasedonaManga]
Nandaka Velonica	[SciFi, FamilyFriendly]
Nandarou	[Shorts]
Nangoku Shounen Papuwa-kun	[]
Nansensu Monogatari Daiichi-hen: Sarugashima	[BlackandWhite, Shorts]
Nantokashite Alguard	[Promotional, Shorts]
Narudoma	[Comedy, BasedonaManga, FlashAnimation]
Narue no Sekai	[Comedy, Romance, SciFi, Aliens]
Narutimate Hero 3 OVA	[Action, Shounen, Ninja]
Naruto	[Action, Drama, Shounen, BasedonaManga, JapaneseMythology, Ninja, Revenge]
Naruto Shippuden	[Action, Drama, Shounen, BasedonaManga, JapaneseMythology, Ninja, Revenge]
Naruto Shippuden - Jump Super Anime Tour 2013 Special	[Comedy]
Naruto Shippuden Movie 1	[Shounen, Ninja]
Naruto Shippuden Movie 2: Kizuna	[Action, Shounen, Ninja]
Naruto Shippuden Movie 3: Hi no Ishi o Tsugu Mono	[Action, Shounen, Ninja]
Naruto Shippuden Movie 4: The Lost Tower	[Action, Ninja, TimeTravel]
Naruto Shippuden Movie 5: Blood Prison	[Action, Shounen, Ninja]
Naruto Shippuden Movie 6: Road to Ninja	[Action, Shounen, Ninja, PersoninaStrangeWorld]
Naruto Shippuden Movie 7: The Last	[Action, Romance, Shounen, BasedonaManga, Ninja]
Naruto Shippuden OVA: Sage Naruto vs Sasuke	[Action, Shounen, Ninja, Shorts]
Naruto Shippuden: Konoha Gakuen Picture Drama Special	[Comedy, Delinquents, PictureDrama, SchoolLife]
Naruto Special 1: Find the Crimson Four-leaf Clover!	[Action, Comedy, Romance, Shounen, Ninja]
Naruto Special 2: Battle at Hidden Falls. I am the Hero!	[Action, Shounen, Ninja]
Naruto the Movie 1: Ninja Clash in the Land of Snow	[Action, Shounen, Ninja]
Naruto the Movie 2: Legend of the Stone of Gelel	[Action, Shounen, Ninja]
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom	[Action, Shounen, Ninja]
Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!	[Action, Ninja]
Naruto: Konoha Sports Festival	[Comedy, Sports, Crude, Ninja, Shorts]
Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!	[Action, Comedy, Shounen, Ninja]
Naruto: The Cross Roads	[Action, Comedy, Shounen, Ninja]
Nasu: Suitcase no Wataridori	[Drama, Seinen, Sports, BasedonaManga, Cycling, Racing, Suicide]
Nasu: Summer in Andalusia	[Action, Seinen, Sports, BasedonaManga, Cycling, Europe, Racing]
Natsu e no Tobira	[Drama, Romance, Shoujo, MatureThemes, Nudity]
Natsu no Arashi!	[Comedy, Romance, BasedonaManga, Cafe, Supernatural, TimeTravel]
Natsu no Arashi! 2	[Comedy, Romance, BasedonaManga, Cafe, Supernatural, TimeTravel]
Natsufuku no Shoujotachi	[Drama, Historical, WorldWar2]
Natsuiro Egao de 1, 2, Jump!	[]
Natsuiro Kiseki	[Drama, Fantasy, SliceofLife, OriginalWork]
Natsuiro Kiseki: 15-kaime no Natsuyasumi	[SliceofLife]
Natsuiro no Sunadokei	[Ecchi, Romance, SciFi]
Natsuki Crisis	[Action, MartialArts, SchoolLife]
Natsume Mito: Maegami Kiri Sugita	[]
Natsume Yuujinchou	[Drama, SliceofLife, BasedonaManga, Episodic, JapaneseMythology, Supernatural]
Natsume Yuujinchou (2013)	[]
Natsume Yuujinchou San	[Drama, SliceofLife, BasedonaManga, Episodic, JapaneseMythology, Supernatural]
